Occurrence Date,Occurrence Hour,NIBRS Description,,Offense Count,Beat,Premise,Block Range,Street Name,Street Type,Suffix
9/1/18,9,Robbery,,1,7C20,"Highway, Road, Street, Alley",3400-3499,DES CHAUMES,ST,
9/1/18,9,"Counterfeiting, forgery",,1,1A30,"Parking Lot, Garage",2000-2099,WESTHEIMER,RD,
9/1/18,9,"Burglary, Breaking and Entering",,1,6B40,"Parking Lot, Garage",8000-8099,PHILLIPS,ST,
9/1/18,9,Simple assault,,1,1.60E+31,"Residence, Home (Includes Apartment)",13600-13699,ROCKY BLUFF,DR,
9/1/18,9,"Destruction, damage, vandalism",,1,6B20,"Residence, Home (Includes Apartment)",2300-2399,TIDWELL,RD,W
9/1/18,9,Theft from motor vehicle,,1,12D20,"Parking Lot, Garage",12300-12399,GULF,FWY,
9/1/18,9,Theft from motor vehicle,,1,1.50E+31,"Parking Lot, Garage",8400-8499,BRAESWOOD,BLVD,N
9/1/18,9,"Burglary, Breaking and Entering",,1,22B40,"Residence, Home (Includes Apartment)",16600-16699,LARCHWOOD,DR,
9/1/18,9,"Destruction, damage, vandalism",,1,8C60,"Residence, Home (Includes Apartment)",6500-6599,HANLEY,LN,
9/1/18,9,"Burglary, Breaking and Entering",,1,6B40,Daycare Facility,1300-1399,MOUNT HOUSTON,RD,W
9/1/18,9,Motor vehicle theft,,1,5F10,"Highway, Road, Street, Alley",7100-7199,TICKNER,ST,
9/1/18,9,Identify theft,,1,8C60,"Residence, Home (Includes Apartment)",7100-7199,HAVERTON,DR,
9/1/18,9,"Credit card, ATM fraud",,1,20G80,"Service, Gas Station",1600-1699,SH 6,,S
9/1/18,10,Identify theft,,1,10H50,"Other, Unknown",2800-2899,ELGIN,ST,
9/1/18,10,Identify theft,,1,20G40,"Residence, Home (Includes Apartment)",2000-2099,BENTWORTH,DR,
9/1/18,10,All other larceny,,1,1.70E+31,"Other, Unknown",,BISSONNET,ST,
9/1/18,10,Simple assault,,1,9C20,"Bar, Nightclub",700-799,SHOTWELL,ST,
9/1/18,10,All other larceny,,1,9C20,"Bar, Nightclub",700-799,SHOTWELL,ST,
9/1/18,10,All other offenses,,1,1A10,"Field, Woods",1900-1999,PIERCE,ST,
9/1/18,10,All other offenses,,1,5F20,"Residence, Home (Includes Apartment)",9000-9099,KEMPWOOD,DR,
9/1/18,10,Theft from motor vehicle,,1,1.50E+41,"Highway, Road, Street, Alley",,REED ENTR,,
9/1/18,10,"Destruction, damage, vandalism",,1,7C30,"Residence, Home (Includes Apartment)",4000-4099,TIDFORD,,
9/1/18,10,Simple assault,,1,14D30,"Residence, Home (Includes Apartment)",6000-6099,BELARBOR,ST,
9/1/18,10,All other offenses,,1,1.50E+21,"Highway, Road, Street, Alley",4900-4999,AIRPORT,BLVD,W
9/1/18,10,Trespass of real property,,1,9C30,"Other, Unknown",3900-3999,OPHELIA,,
9/1/18,10,Simple assault,,1,11H40,"Residence, Home (Includes Apartment)",300-399,AXILDA,ST,
9/1/18,10,"Burglary, Breaking and Entering",,1,11H40,"Residence, Home (Includes Apartment)",300-399,AXILDA,ST,
9/1/18,10,Simple assault,,1,7C30,"Residence, Home (Includes Apartment)",2000-2099,TIDWELL,RD,
9/1/18,10,"Destruction, damage, vandalism",,1,18F30,"Parking Lot, Garage",6200-6299,WESTHEIMER,RD,
9/1/18,10,Theft from motor vehicle,,1,2A20,"Parking Lot, Garage",1300-1399,WALTON,ST,
9/1/18,10,Robbery,,1,9C20,"Other, Unknown",700-799,SHOTWELL,ST,
9/1/18,10,All other offenses,,1,7C10,"Highway, Road, Street, Alley",5400-5499,MARKET,ST,
9/1/18,10,"Destruction, damage, vandalism",,1,10H30,"Highway, Road, Street, Alley",,GULF,FWY,
9/1/18,10,Robbery,,1,9C40,"Residence, Home (Includes Apartment)",700-799,COOLWOOD,DR,
9/1/18,10,Theft from motor vehicle,,1,1.50E+11,"Residence, Home (Includes Apartment)",10100-10199,BALMFORTH,LN,
9/1/18,10,"Credit card, ATM fraud",,1,1.50E+11,"Residence, Home (Includes Apartment)",10100-10199,BALMFORTH,LN,
